497.848;-4284
521.749;-5254
550.93;-6104
518.688;-5094
543.144;-5824
549.201;-6069
579.497;-6799
536.645;-5713
572.027;-6688
625.516;-7378
714.917;-8028
665.778;-7697
627.41;-7435
635.088;-7548
635.416;-7667
671.305;-7766
691.002;-7867
691.51;-7986
467;-0
467.096;-119
467.736;-427
467.839;-546
468.104;-584
468.125;-798
468.229;-917
468.859;-1011
468.909;-1225
469.013;-1344
469.26;-1382
469.365;-1501
470.065;-1809
470.17;-1928
472.587;-1981
472.695;-2100
472.961;-2195
473.069;-2314
473.252;-2352
473.36;-2471
474.239;-2779
474.348;-2898
476.417;-2925
482.328;-3468
483.76;-3776
483.882;-3895
492.346;-3994
495.796;-4107
495.929;-4226
502.283;-4614
502.416;-4733
506.125;-4751
506.269;-4870
515.577;-4945
515.724;-5064
521.439;-5201
524.329;-5344
524.479;-5463
527.13;-5589
527.291;-5708
539.59;-5768
544.149;-5920
544.33;-6039
552.867;-6319
553.051;-6438
566.254;-6487
566.481;-6606
572.951;-6769
590.185;-6868
599.613;-7088
601.961;-7217
602.245;-7336
542.375;-5804
549.738;-6099
591.283;-6955
591.554;-7074
